,Other,Progenitor_cells,Stem_cells,Cell_line
1,,,,
2,,NPCs,,
3,,,,
4,,,,
5,,,NSCs,
6,,,NSCs,
7,,,,
8,,,,
9,,,,
10,,,MSCs,
11,,,,
12,,,,
13,,,,
14,,,NSCs,
15,,,,
16,,,NSCs,
17,,,MSCs,
18,,,,
19,,,NSCs,
20,,,,
21,,NPCs,,
22,,,,
23,,,NSCs,
24,,,NSCs,
25,organotypic (SC,,,
26,,,MSCs,
27,,,NSCs,
28,,,NSCs,
29,,,MSCs,
30,,NE-4C,,
31,,,NSCs,
32,,,MSCs,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,MSCs,
42,,,NSCs,
43,,,,
44,,,ADSCs,
45,,,,
46,,,NSCs,
47,,,NSCs,
48,,,MSCs,
49,,,MSCs,
50,,,NSCs,
51,,,NSCs,
52,,,NSCs,
53,,,MSCs,
54,,,NSCs,
55,,,,
56,,,NSCs,
57,,,NSCs,
58,,,,
59,,,NSCs,
60,,,NSCs,
61,,,NSCs,
62,,,MSCs,
63,,,MSCs,
64,,Neural spheroids,,
65,,,,
66,,,,
67,,,NSCs,
68,,,,
69,,,,
70,,,NSCs,
71,,,NSCs,
72,,,NSCs,
73,Schwann cells,,,
74,,,NSCs,
75,Schwann cells,,,
76,Schwann cells,,,
77,,NPCs,,
78,,,NSCs,
79,,,NSCs,
80,,,NSCs,
81,,,,
82,,,,
83,,,NSCs,
84,,,MSCs,
85,,,NSCs,
86,,,NSCs,
87,,,,
88,,,,
89,,,MSCs,
90,,NPCs,,
91,,,,
92,,,MSCs,
93,,,MSCs,
94,Schwann cells,,,
95,,,,
96,,,MSCs,
97,,,,
98,,,,
99,,,,
1,,,,
2,,,,
3,,,,
4,,,,PC12
5,,,,
6,,,,SH-SY5Y
7,,,,
8,,,,PC12
9,,,,
10,,,,
11,,,,
12,,,,PC12
13,,,,PC12
14,,,,
15,,,,PC12
16,,,,
17,,,,
18,,,,PC12
19,,,,
20,,,,PC12
21,,,,
22,,,,PC12
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,SH-SY5Y
34,,,,PC12
35,,,,PC12
36,,,,C2C12
37,,,,Neuro2a
38,,,,PC12
39,,,,PC12
40,,,,PC12
41,,,,
42,,,,
43,,,,PC12
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,Neuro2a
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,PC12
66,,,,PC12
67,,,,
68,,,,
69,,,,PC12
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,PC12
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,PC12
88,,,,PC12
89,,,,
90,,,,Neuro2a
91,,,,RSC-96
92,,,,
93,,,,
94,,,,
95,,,,PC12
96,,,,
97,,,,SH-SY5Y
98,,,,SH-SY5Y
99,,,,
