,Carbon_type,Metal_type,Ceramic_type,Polymer_type,Semiconductor_type
1,,,,,BP
2,CNT,,,,
3,CNT,,,,
4,Graphene,,BaTiO3,,
5,CNT,,,,
6,GO,,,,
7,CNT,,,,
8,,,,,
9,,,,PEDOT,
10,,,,PTh,
11,Graphene,,,,
12,GO,,,,
13,Other,,,PEDOT,
14,,,,,BP
15,rGO,,,,
16,Graphene,,,,
17,Graphene,,,,
18,,,,,
19,,Gold,,,
20,,,,,
21,,Silver,,,
22,,,,PEDOT,
23,GO,,,,
24,,,,PEDOT,
25,Graphene,,,,
26,Other,,,,
27,CNT,,,,
28,,,,,
29,CNT,,,,
30,CNT,,,,
31,CNT,,,,
32,,Gold,,,
33,CNT,,,,
34,GO,,,,
35,rGO,,,,
36,,Mxene,,,
37,rGO,,,,
38,,,,,
39,CNT,,,,
40,GO,,,,
41,,,,PPy,
42,GO,,,,
43,rGO,,,,
44,Graphene,,,,
45,GO,,,,
46,,,,,
47,CNT,,,,
48,rGO,,,,
49,,,,,BP
50,,,,PEDOT,
51,,Gold,,,
52,,,,PPy,
53,,Iron,,,
54,,,,,GeP
55,Other,,,,
56,,,,PPy,
57,,Gold,,,
58,GO,,,,
59,CNT,,,,
60,,,,,GeP
61,,Iron,,,
62,,Mxene,,,
63,,,,,SiP
64,Other,,,,
65,,,,PEDOT,
66,,Other,,,
67,,Mxene,,,
68,,,,,
69,,,,,BP
70,,Mxene,,,
71,,Iron,,,
72,CNT,,,,
73,,,,PEI,
74,,,CoFe2O4,,
75,rGO,,,,
76,rGO,,,,
77,,Gold,,,
78,,,,,GeP
79,CNT,,,,
80,,Iron,,,
81,,Iron,,,
82,rGO,,,,
83,,,,PEDOT,
84,,,,PEDOT,
85,,Gold,,,
86,,Mxene,,,
87,,Gold,,,
88,,Iron,,,
89,GO,,,,
90,Other,,,,
91,,,,PEDOT,
92,,,,,
93,,Iron,,,
94,,Iron,,,
95,,,,,
96,CNT,,,,
97,GO,,BiFeO3,,
98,,,CoFe2O4,,
99,,,,,
100,,,,,
