,Nanomaterial_type
1,Semiconductor
2,Carbon
3,Carbon
4,Ceramic
5,Carbon
6,Mixed
7,Carbon
8,Mixed
9,Polymer
10,Polymer
11,Carbon
12,Carbon
13,Polymer
14,Semiconductor
15,Carbon
16,Carbon
17,Carbon
18,Mixed
19,Metal
20,Mixed
21,Metal
22,Polymer
23,Carbon
24,Polymer
25,Carbon
26,Carbon
27,Carbon
28,Mixed
29,Carbon
30,Carbon
31,Carbon
32,Metal
33,Carbon
34,Carbon
35,Carbon
36,Metal
37,Carbon
38,Mixed
39,Carbon
40,Carbon
41,Polymer
42,Carbon
43,Carbon
44,Carbon
45,Carbon
46,Metal
47,Carbon
48,Carbon
49,Semiconductor
50,Polymer
51,Metal
52,Polymer
53,Metal
54,Semiconductor
55,Carbon
56,Polymer
57,Metal
58,Carbon
59,Carbon
60,Semiconductor
61,Metal
62,Metal
63,Semiconductor
64,Carbon
65,Polymer
66,Metal
67,Metal
68,Mixed
69,Semiconductor
70,Metal
71,Metal
72,Carbon
73,Polymer
74,Ceramic
75,Carbon
76,Carbon
77,Metal
78,Semiconductor
79,Carbon
80,Metal
81,Metal
82,Carbon
83,Polymer
84,Polymer
85,Metal
86,Metal
87,Metal
88,Metal
89,Carbon
90,Carbon
91,Polymer
92,Mixed
93,Metal
94,Metal
95,Mixed
96,Carbon
97,Carbon
98,Metal
