,Nano_Hyd_integration,Nanomat_dimension
0,OP1,2D
1,OP1,1D
2,OP1,2D
3,Other,1D
4,OP1,0D
5,OP1,1D
6,OP1,0D
7,OP1,2D
8,OP2,1D
9,OP1,2D
10,OP1,0D
11,OP1,2D
12,OP1,0D
13,OP1,0D
14,OP1,2D
15,OP1,0D
16,OP1,2D
17,Other,0D
18,OP1,2D
19,OP1,2D
20,OP1,2D
21,OP1,2D
22,OP1,0D
23,OP2,2D
24,OP1,1D
25,OP1,1D
26,OP1,
27,OP1,
28,OP1,2D
29,OP1,
30,OP1,2D
31,OP1,0D
32,OP1,1D
33,OP1,1D
34,OP1,2D
35,OP1,1D
36,OP1,1D
37,OP1,1D
38,OP1,2D
39,OP1,0D
40,OP1,1D
41,OP1,2D
42,OP1,2D
43,Other,2D
44,OP1,2D
45,OP1,1D
46,OP1,1D
47,OP1,2D
48,OP1,0D
49,OP1,2D
50,OP1,2D
51,OP1,2D
52,OP1,2D
53,OP1,0D
54,OP1,2D
55,OP1,1D
56,OP1,2D
57,OP1,2D
58,OP1,0D
59,OP1,0D
60,OP1,0D
61,OP1,0D
62,OP1,2D
63,OP1,1D
64,OP1,0D
65,OP1,0D
66,OP1,2D
67,OP4,1D
68,OP1,2D
69,OP1,0D
71,OP1,2D
72,OP1,0D
73,Other,0D
74,OP1,2D
75,OP1,2D
76,Other,0D
77,OP1,2D
78,OP1,2D
79,OP1,0D
80,OP1,1D
81,OP1,0D
82,OP1,0D
83,OP1,0D
84,OP1,2D
85,OP1,0D
86,OP1,2D
87,OP1,1D
88,OP1,0D
89,OP1,0D
90,OP1,2D
91,OP4,
92,OP1,0D
93,OP4,0D
94,OP1,2D
95,OP1,0D
96,OP1,0D
97,OP1,2D
70,,2D
98,,1D
99,,0D
100,,0D
101,,2D
102,,0D
103,,0D
104,,0D
105,,1D
106,,2D
107,,0D
