,Neural_Stem_Cells,      Neuronal_Cells_and_Function,      Oligodendrocytes,   Astrocytes,  Neurotrophic_Factors
1,, MAP2,,,
2,, Other,,,
3,,Other,,,
4,,,,,
5,,,,,
6,,Tuj1,,GFAP,
7,,Tuj1,,,
8,Nestin,MAP2,,,
9,,Tuj1,O4,,
10,,,,,
11,,,,,
12,,Other,,Other,
13,,,,Other,
14,,Tuj1,MBP,GFAP,
15,,,,,
16,,,,,
17,Nestin,MAP2,,,
18,,,,,
19,,,,,
20,,,, S100β,
21,,,,,
22,,MAP2,,,
23,Nestin,SYN1,Olig2,GFAP,
24,SOX2,Tuj1,O4,GFAP,
25,,Tuj1,,GFAP,
26,,Other,, S100β,
27,Nestin,Tuj1,,,
28,,MAP2,,,
29,Nestin,Tuj1,,,
30,,Other,,,
31,Nestin,Tuj1,CNPase,GFAP,
32,,MAP2,,,
33,Nestin,Tuj1 ,,,
34,,Tuj1,,,
35,,,,,
36,, NeuN,,,
37,,Tuj1,,GFAP,
38,,,,,
39,,,,,
40,,NF,,,
41,,SYN1,,,
42,Nestin,NF,,,
43,,MAP2,,,
44,,,,,
45,,MAP2,,,
46,,Tuj1,MBP,,
47,,MAP2,,,
48,, MAP2,,,
49,Nestin,Tuj1,,GFAP,
50,,MAP2,,,
51,Nestin,Tuj1,,GFAP,
52,,Tuj1,,GFAP,BDNF
53,,,,,
54,Nestin,Tuj1,,GFAP,
55,,MAP2,Other,,
56,Nestin,Tuj1,,GFAP,
57,,Tuj1,,GFAP,
58,,Other,,,
59,,,,GFAP,
60,,,,,
61,SOX2,Tuj1,MBP,GFAP,
62,,,,,
63,,,,, BDNF
64,,Other,,,
65,,NF,,,
66,,,,,
67,,,,,Other
68,,,,,
69,,Other,,,
70,,Tuj1,Other,GFAP,
71,,,,,
72,, PSD95,,,NGF
73,,MAP2,,,
74,,,,,
75,,Other,Other,,NGF
76,,,,,
77,,MAP2,,,
78,Nestin,Tuj1,,GFAP,
79,,Other,,,
80,,,,,
81,,Tuj1,MBP,GFAP,BDNF
82,SOX2,,,,
83,,Tuj1,,GFAP,
84,,,,,
85,,,,,
86,Nestin,MAP2,,GFAP,
87,,,,,
88,,,,,
89,Nestin,NF,,,
90,,,,,
91,,NF,MBP, S100β,
92,,,,,
93,Nestin,Tuj1,,GFAP,
94,,,,,
95,,MAP2,,,
96,Nestin,Tuj1,,GFAP,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
