,Mode,Culture_duration,Cell_density_unit
0,Mono-culture,3d-2w,Cells/Well
1,Mono-culture,2w-3m,Cells/Well
2,Co-culture,3d-2w,Cells/Disc
3,Mono-culture,3d-2w,Cells/Well
4,Mono-culture,2w-3m,Cells/Hydrogel
5,Co-culture,3d-2w,Cells/Ml
6,Mono-culture,3d-2w,Cells/Ml
7,Mono-culture,2w-3m,Cells/Ml
8,Mono-culture,3d-2w,Cells/Hydrogel
9,Mono-culture,3d-2w,Cells/Well
10,Mono-culture,3d-2w,Cells/Hydrogel
11,Mono-culture,3d-2w,Cells/Ml
12,Mono-culture,3d-2w,Cells/Hydrogel
13,Mono-culture,3d-2w,Cells/Ml
14,Mono-culture,3d-2w,Cells/Hydrogel
15,Mono-culture,3d-2w,Cells/Ml
16,Mono-culture,2w-3m,Cells/Well
17,Mono-culture,3d-2w,Cells/Well
18,Mono-culture,3d-2w,Cells/Hydrogel
19,Mono-culture,3d-2w,Cells/Cm2
20,Mono-culture,3d-2w,Cells/Ml
21,Mono-culture,2w-3m,Cells/Hydrogel
22,Mono-culture,3d-2w,Cells/Ml
23,Mono-culture,2w-3m,Cells/Ml
24,Mono-culture,2w-3m,Cells/Ml
25,Mono-culture,3d-2w,Cells/Ml
26,Mono-culture,2w-3m,Cells/Hydrogel
27,Mono-culture,3d-2w,Cells/Ml
28,Mono-culture,3d-2w,Cells/Ml
29,Mono-culture,3d-2w,Cells/Cm2
30,Mono-culture,3d-2w,Cells/Well
31,Mono-culture,3d-2w,Cells/Ml
32,Mono-culture,3d-2w,Cells/Hydrogel
34,Mono-culture,3d-2w,Cells/Ml
35,Co-culture,3d-2w,Cells/Ml
36,Mono-culture,3d-2w,Cells/Hydrogel
37,Mono-culture,3d-2w,Cells/Ml
38,Mono-culture,3d-2w,Cells/Hydrogel
39,Mono-culture,3d-2w,Cells/Ml
40,Mono-culture,3d-2w,Cells/Hydrogel
41,Mono-culture,3d-2w,Cells/Well
42,Mono-culture,3d-2w,Cells/Well
43,Mono-culture,3d-2w,Cells/Ml
44,Mono-culture,3d-2w,Cells/Cm2
45,Mono-culture,3d-2w,Cells/Well
46,Mono-culture,3d-2w,Cells/Well
47,Mono-culture,3d-2w,Cells/Hydrogel
48,Mono-culture,3d-2w,Cells/Well
49,Mono-culture,3d-2w,Cells/Well
50,Mono-culture,3d-2w,Cells/Hydrogel
51,Mono-culture,3d-2w,Cells/Hydrogel
52,Mono-culture,3d-2w,Cells/Ml
53,Mono-culture,3d-2w,Cells/Cm2
54,Mono-culture,3d-2w,Cells/Well
55,Mono-culture,3d-2w,Cells/Well
56,Mono-culture,<3d,Cells/Hydrogel
57,Mono-culture,3d-2w,Cells/Well
58,Mono-culture,3d-2w,Cells/Ml
59,Mono-culture,3d-2w,Cells/Ml
60,Mono-culture,3d-2w,Cells/Hydrogel
61,Mono-culture,3d-2w,Cells/Hydrogel
62,Mono-culture,3d-2w,Cells/Hydrogel
63,Mono-culture,3d-2w,Cells/Well
64,Mono-culture,3d-2w,Cells/Hydrogel
65,Mono-culture,<3d,Cells/Ml
66,Mono-culture,3d-2w,Cells/Hydrogel
67,Mono-culture,3d-2w,Cells/Hydrogel
68,Mono-culture,3d-2w,Cells/Ml
69,Co-culture,3d-2w,
70,Mono-culture,<3d,
71,Mono-culture,<3d,
72,Mono-culture,3d-2w,
73,Mono-culture,3d-2w,
74,Mono-culture,3d-2w,
75,Mono-culture,3d-2w,
76,Mono-culture,3d-2w,
77,Mono-culture,3d-2w,
78,Mono-culture,3d-2w,
79,Mono-culture,<3d,
80,Mono-culture,3d-2w,
81,Mono-culture,3d-2w,
82,Mono-culture,3d-2w,
83,Mono-culture,3d-2w,
84,Mono-culture,3d-2w,
85,Mono-culture,3d-2w,
86,Mono-culture,3d-2w,
87,Mono-culture,3d-2w,
88,Mono-culture,3d-2w,
89,Mono-culture,3d-2w,
90,Mono-culture,2w-3m,
91,Mono-culture,2w-3m,
33,,,Cells/Hydrogel
